image_id,batch,plate,well,site,combined_channels,normalized,stats
0,2020_11_04_CPJUMP1,BR00116991__2020-11-05T19_51_35-Measurement1,G20,5,"['DNA', 'RNA', 'ER', 'AGP', 'Mito']",False,"{'min_val': np.float32(390.8), 'max_val': np.float32(33436.8), 'mean_val': np.float32(2873.4265), 'std_val': np.float32(3489.565)}"
1,2020_11_04_CPJUMP1,BR00116991__2020-11-05T19_51_35-Measurement1,O11,8,"['DNA', 'RNA', 'ER', 'AGP', 'Mito']",False,"{'min_val': np.float32(494.4), 'max_val': np.float32(27804.002), 'mean_val': np.float32(4196.8457), 'std_val': np.float32(3781.1516)}"
2,2020_11_04_CPJUMP1,BR00116991__2020-11-05T19_51_35-Measurement1,M21,7,"['DNA', 'RNA', 'ER', 'AGP', 'Mito']",False,"{'min_val': np.float32(353.4), 'max_val': np.float32(33398.6), 'mean_val': np.float32(3088.7312), 'std_val': np.float32(3707.409)}"
3,2020_11_04_CPJUMP1,BR00116991__2020-11-05T19_51_35-Measurement1,J19,7,"['DNA', 'RNA', 'ER', 'AGP', 'Mito']",False,"{'min_val': np.float32(377.2), 'max_val': np.float32(42383.605), 'mean_val': np.float32(2583.9731), 'std_val': np.float32(3623.2275)}"
4,2020_11_04_CPJUMP1,BR00116991__2020-11-05T19_51_35-Measurement1,K11,8,"['DNA', 'RNA', 'ER', 'AGP', 'Mito']",False,"{'min_val': np.float32(412.0), 'max_val': np.float32(45478.4), 'mean_val': np.float32(2002.1786), 'std_val': np.float32(3376.3281)}"
5,2020_11_04_CPJUMP1,BR00116991__2020-11-05T19_51_35-Measurement1,E04,8,"['DNA', 'RNA', 'ER', 'AGP', 'Mito']",False,"{'min_val': np.float32(498.60004), 'max_val': np.float32(32384.0), 'mean_val': np.float32(2718.959), 'std_val': np.float32(3051.6008)}"
6,2020_11_04_CPJUMP1,BR00116991__2020-11-05T19_51_35-Measurement1,H03,6,"['DNA', 'RNA', 'ER', 'AGP', 'Mito']",False,"{'min_val': np.float32(487.6), 'max_val': np.float32(36474.6), 'mean_val': np.float32(3399.9263), 'std_val': np.float32(4002.5237)}"
7,2020_11_04_CPJUMP1,BR00116991__2020-11-05T19_51_35-Measurement1,E02,8,"['DNA', 'RNA', 'ER', 'AGP', 'Mito']",False,"{'min_val': np.float32(487.0), 'max_val': np.float32(44756.6), 'mean_val': np.float32(2693.1133), 'std_val': np.float32(3192.0986)}"
8,2020_11_04_CPJUMP1,BR00116991__2020-11-05T19_51_35-Measurement1,L06,2,"['DNA', 'RNA', 'ER', 'AGP', 'Mito']",False,"{'min_val': np.float32(520.4), 'max_val': np.float32(35820.6), 'mean_val': np.float32(3778.8154), 'std_val': np.float32(4177.626)}"
9,2020_11_04_CPJUMP1,BR00116991__2020-11-05T19_51_35-Measurement1,L21,1,"['DNA', 'RNA', 'ER', 'AGP', 'Mito']",False,"{'min_val': np.float32(358.2), 'max_val': np.float32(36047.0), 'mean_val': np.float32(1930.0928), 'std_val': np.float32(2841.9739)}"
